sentiment,total,proportion
anger,28,9.43%
anticipation,18,6.06%
disgust,8,2.69%
fear,27,9.09%
joy,10,3.37%
negative,36,12.12%
positive,80,26.94%
sadness,15,5.05%
surprise,16,5.39%
trust,59,19.87%
