sentiment,total,proportion
anger,26,7.49%
anticipation,25,7.20%
disgust,11,3.17%
fear,27,7.78%
joy,22,6.34%
negative,39,11.24%
positive,99,28.53%
sadness,13,3.75%
surprise,16,4.61%
trust,69,19.88%
