sentiment,total,proportion
anger,32,10.00%
anticipation,22,6.88%
disgust,8,2.50%
fear,34,10.62%
joy,8,2.50%
negative,41,12.81%
positive,81,25.31%
sadness,14,4.38%
surprise,15,4.69%
trust,65,20.31%
