sentiment,total,proportion
anger,29,10.21%
anticipation,18,6.34%
disgust,9,3.17%
fear,25,8.80%
joy,9,3.17%
negative,33,11.62%
positive,75,26.41%
sadness,12,4.23%
surprise,14,4.93%
trust,60,21.13%
