sentiment,total,proportion
anger,28,9.79%
anticipation,18,6.29%
disgust,9,3.15%
fear,26,9.09%
joy,9,3.15%
negative,36,12.59%
positive,76,26.57%
sadness,15,5.24%
surprise,13,4.55%
trust,56,19.58%
