sentiment,total,proportion
anger,24,8.03%
anticipation,33,11.04%
disgust,5,1.67%
fear,29,9.70%
joy,21,7.02%
negative,25,8.36%
positive,85,28.43%
sadness,2,0.67%
surprise,25,8.36%
trust,50,16.72%
