sentiment,total,proportion
anger,31,7.43%
anticipation,35,8.39%
disgust,14,3.36%
fear,72,17.27%
joy,24,5.76%
negative,73,17.51%
positive,63,15.11%
sadness,33,7.91%
surprise,15,3.60%
trust,57,13.67%
