sentiment,total,proportion
anger,45,10.49%
anticipation,49,11.42%
disgust,15,3.50%
fear,59,13.75%
joy,29,6.76%
negative,66,15.38%
positive,68,15.85%
sadness,24,5.59%
surprise,23,5.36%
trust,51,11.89%
