sentiment,total,proportion
anger,31,10.23%
anticipation,21,6.93%
disgust,10,3.30%
fear,29,9.57%
joy,14,4.62%
negative,38,12.54%
positive,72,23.76%
sadness,12,3.96%
surprise,17,5.61%
trust,59,19.47%
