sentiment,total,proportion
anger,31,10.33%
anticipation,21,7.00%
disgust,10,3.33%
fear,32,10.67%
joy,12,4.00%
negative,37,12.33%
positive,70,23.33%
sadness,14,4.67%
surprise,16,5.33%
trust,57,19.00%
