sentiment,total,proportion
anger,36,10.37%
anticipation,34,9.80%
disgust,10,2.88%
fear,57,16.43%
joy,11,3.17%
negative,52,14.99%
positive,64,18.44%
sadness,19,5.48%
surprise,23,6.63%
trust,41,11.82%
