sentiment,total,proportion
anger,33,10.54%
anticipation,20,6.39%
disgust,8,2.56%
fear,31,9.90%
joy,9,2.88%
negative,40,12.78%
positive,79,25.24%
sadness,15,4.79%
surprise,16,5.11%
trust,62,19.81%
