sentiment,total,proportion
anger,25,7.84%
anticipation,23,7.21%
disgust,10,3.13%
fear,25,7.84%
joy,15,4.70%
negative,31,9.72%
positive,97,30.41%
sadness,13,4.08%
surprise,13,4.08%
trust,67,21.00%
