sentiment,total,proportion
anger,29,8.55%
anticipation,18,5.31%
disgust,13,3.83%
fear,57,16.81%
joy,13,3.83%
negative,59,17.40%
positive,64,18.88%
sadness,23,6.78%
surprise,6,1.77%
trust,57,16.81%
