sentiment,total,proportion
anger,47,10.73%
anticipation,50,11.42%
disgust,14,3.20%
fear,64,14.61%
joy,28,6.39%
negative,73,16.67%
positive,62,14.16%
sadness,28,6.39%
surprise,22,5.02%
trust,50,11.42%
