sentiment,total,proportion
anger,45,11.14%
anticipation,33,8.17%
disgust,11,2.72%
fear,66,16.34%
joy,16,3.96%
negative,61,15.10%
positive,73,18.07%
sadness,21,5.20%
surprise,28,6.93%
trust,50,12.38%
