sentiment,total,proportion
anger,33,10.78%
anticipation,22,7.19%
disgust,7,2.29%
fear,30,9.80%
joy,8,2.61%
negative,39,12.75%
positive,78,25.49%
sadness,14,4.58%
surprise,15,4.90%
trust,60,19.61%
