sentiment,total,proportion
anger,39,11.71%
anticipation,25,7.51%
disgust,11,3.30%
fear,44,13.21%
joy,23,6.91%
negative,45,13.51%
positive,64,19.22%
sadness,10,3.00%
surprise,26,7.81%
trust,46,13.81%
