sentiment,total,proportion
anger,32,10.53%
anticipation,22,7.24%
disgust,9,2.96%
fear,31,10.20%
joy,13,4.28%
negative,35,11.51%
positive,72,23.68%
sadness,14,4.61%
surprise,17,5.59%
trust,59,19.41%
