sentiment,total,proportion
anger,43,11.72%
anticipation,33,8.99%
disgust,13,3.54%
fear,57,15.53%
joy,18,4.90%
negative,51,13.90%
positive,64,17.44%
sadness,21,5.72%
surprise,23,6.27%
trust,44,11.99%
