sentiment,total,proportion
anger,28,10.11%
anticipation,16,5.78%
disgust,9,3.25%
fear,24,8.66%
joy,9,3.25%
negative,33,11.91%
positive,74,26.71%
sadness,12,4.33%
surprise,14,5.05%
trust,58,20.94%
