sentiment,total,proportion
anger,31,10.40%
anticipation,21,7.05%
disgust,9,3.02%
fear,28,9.40%
joy,14,4.70%
negative,36,12.08%
positive,72,24.16%
sadness,12,4.03%
surprise,17,5.70%
trust,58,19.46%
