sentiment,total,proportion
anger,28,9.69%
anticipation,19,6.57%
disgust,8,2.77%
fear,30,10.38%
joy,10,3.46%
negative,33,11.42%
positive,73,25.26%
sadness,14,4.84%
surprise,14,4.84%
trust,60,20.76%
